episode, result, self hp, boss hp, total reward, time
1, 1, 5, 901, 11.000, 68.735
2, 1, 2, 901, -6.500, 68.065
3, 1, 1, 901, -22.500, 70.045
4, 1, 5, 901, 10.500, 60.032
5, 1, 3, 901, -3.500, 89.229
6, 1, 2, 901, -10.500, 55.570
7, 1, 3, 901, 1.500, 57.417
8, 1, 6, 901, 41.500, 42.510
9, 1, 4, 901, 11.500, 66.178
10, 1, 5, 901, 16.500, 72.218
11, 1, 5, 901, 20.000, 65.114
12, 1, 2, 901, -18.500, 75.770
13, 1, 1, 901, -24.000, 74.054
14, 1, 3, 901, -4.000, 76.057
15, 1, 2, 901, -19.000, 54.582
16, 1, 2, 901, -1.500, 57.472
17, 1, 3, 901, 15.500, 48.058
18, 1, 9, 901, 69.000, 50.704
19, 1, 6, 901, 41.000, 52.424
20, 1, 3, 901, -7.500, 57.801
21, 1, 5, 901, 31.000, 69.083
22, 1, 5, 901, 14.500, 63.961
23, 1, 5, 901, 12.500, 64.437
24, 1, 4, 901, 12.000, 45.437
25, 0, 0, 4, -39.500, 50.820
26, 1, 5, 901, 23.000, 49.891
27, 1, 3, 901, -16.500, 57.490
28, 1, 4, 901, -15.500, 58.309
29, 1, 2, 901, -11.500, 57.024
30, 1, 2, 901, -30.500, 54.534
31, 1, 5, 901, 28.500, 50.660
32, 1, 8, 901, 60.000, 56.705
33, 1, 5, 901, 18.500, 79.460
34, 1, 4, 901, 16.000, 43.501
35, 1, 2, 901, -11.500, 55.655
36, 1, 2, 901, -20.500, 57.128
37, 1, 8, 901, 56.000, 52.135
38, 1, 3, 901, 9.500, 53.037
39, 1, 3, 901, 7.000, 52.305
40, 1, 6, 901, 48.500, 43.029
41, 1, 3, 901, -2.000, 53.555
42, 1, 4, 901, 7.500, 76.633
43, 1, 5, 901, 38.000, 52.599
44, 1, 1, 901, -20.000, 64.457
45, 1, 4, 901, 15.500, 59.561
46, 0, 0, 4, -36.500, 64.356
47, 1, 7, 901, 32.500, 60.015
48, 1, 4, 901, 14.500, 60.351
49, 1, 6, 901, 31.500, 59.721
50, 1, 2, 901, -16.000, 59.195
51, 1, 7, 901, 34.000, 55.071
52, 1, 3, 901, -4.500, 67.890
53, 1, 5, 901, 28.000, 38.295
54, 0, 0, 100, -25.500, 55.318
55, 1, 4, 901, 17.500, 57.017
56, 1, 4, 901, 22.000, 47.804
57, 1, 7, 901, 41.000, 61.990
58, 1, 5, 901, 15.500, 53.298
59, 1, 6, 901, 32.000, 64.584
60, 1, 1, 901, -3.000, 54.299
61, 1, 3, 901, 14.500, 51.479
62, 1, 7, 901, 42.500, 51.720
63, 1, 6, 901, 37.500, 48.752
64, 1, 6, 901, 29.500, 58.543
65, 1, 5, 901, 14.000, 64.239
66, 1, 4, 901, 13.000, 49.807
67, 1, 5, 901, 16.000, 72.411
68, 1, 6, 901, 20.000, 56.697
69, 1, 6, 901, 8.500, 53.517
70, 1, 6, 901, 32.500, 58.675
71, 1, 2, 901, -23.500, 58.729
72, 1, 1, 901, -12.000, 55.154
73, 1, 2, 901, -4.500, 59.259
74, 1, 5, 901, 31.000, 58.111
75, 1, 4, 901, 17.000, 41.110
76, 1, 2, 901, -20.000, 73.823
77, 1, 5, 901, 17.000, 71.062
78, 1, 5, 901, 22.500, 59.107
79, 1, 5, 901, 4.000, 56.123
80, 1, 2, 901, -7.000, 57.029
81, 1, 4, 901, 9.500, 62.027
82, 1, 6, 901, 38.000, 53.878
83, 1, 5, 901, 16.000, 63.092
84, 1, 2, 901, -11.500, 61.711
85, 1, 5, 901, 20.000, 65.559
86, 1, 4, 901, 9.500, 59.505
87, 1, 4, 901, 20.500, 51.392
88, 1, 7, 901, 44.500, 60.567
89, 1, 8, 901, 59.000, 56.786
90, 1, 4, 901, 16.000, 42.277
91, 1, 4, 901, 12.500, 59.037
92, 0, 0, 4, -31.000, 68.751
93, 1, 2, 901, -5.500, 51.394
94, 1, 3, 901, -12.000, 55.448
95, 1, 5, 901, 29.500, 46.441
96, 1, 5, 901, 35.500, 52.327
97, 1, 8, 901, 70.000, 41.421
98, 1, 6, 901, 49.000, 48.917
99, 1, 5, 901, 25.000, 50.800
100, 1, 6, 901, 52.000, 54.156
101, 1, 3, 901, 9.500, 55.647
102, 1, 3, 901, 9.000, 60.755
103, 1, 4, 901, 34.500, 66.439
104, 1, 6, 901, 20.000, 63.760
105, 1, 5, 901, 45.000, 61.260
106, 1, 5, 901, 34.000, 41.577
107, 1, 6, 901, 42.500, 75.931
108, 1, 2, 901, -8.500, 76.957
109, 1, 6, 901, 34.500, 62.056
110, 1, 7, 901, 41.000, 57.304
111, 1, 4, 901, 11.000, 52.568
112, 1, 5, 901, 33.000, 39.748
113, 1, 6, 901, 41.500, 60.352
114, 1, 3, 901, -3.000, 53.342
115, 1, 4, 901, 16.000, 65.480
116, 1, 4, 901, 18.000, 37.319
117, 1, 7, 901, 46.500, 70.598
118, 1, 5, 901, 25.000, 70.848
119, 1, 7, 901, 56.000, 56.861
120, 1, 2, 901, 4.000, 52.295
121, 1, 7, 901, 58.000, 47.474
122, 1, 7, 901, 52.000, 45.017
123, 1, 6, 901, 41.500, 57.503
124, 1, 3, 901, 0.500, 61.554
125, 1, 6, 901, 39.000, 49.488
126, 1, 6, 901, 34.500, 65.754
127, 1, 7, 901, 43.500, 57.381
128, 1, 6, 901, 37.000, 48.482
129, 1, 4, 901, -13.500, 77.342
